# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "16" "-s" "2" "-a" "ref/Saccharomyces_cerevisiae.gtf" "-o" "counts.txt" "-p" "SRR19383416.bam" "SRR19383417.bam" "SRR19383418.bam" "SRR19383407.bam" "SRR19383408.bam" "SRR19383409.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR19383416.bam	SRR19383417.bam	SRR19383418.bam	SRR19383407.bam	SRR19383408.bam	SRR19383409.bam
YMR013W-A	XIII	298311	298391	+	81	0	0	0	0	0	0
YML076C	XIII	112513	115347	-	2835	635	775	675	1078	813	1107
YMR082C	XIII	431769	432125	-	357	0	0	0	2	3	4
tR(UCU)M2	XIII	131825	131896	-	72	5	5	5	6	5	4
YMR022W	XIII	318680	319177	+	498	731	800	787	1662	1594	1922
YML062C	XIII	147505	148683	-	1179	226	280	260	411	335	413
YMR086C-A	XIII	442026	442364	-	339	29	17	18	45	38	62
YML035C	XIII	206428	208860	-	2433	2236	3014	2571	5532	4562	5546
YMR173W	XIII	608689	609981	+	1293	403	550	422	2455	2046	2310
YMR194C-A	XIII	652912	653136	-	225	22	18	23	103	84	107
YMR093W	XIII	454015	455556	+	1542	1423	1871	1623	194	188	205
YML036W	XIII;XIII	205642;206204	206097;206293	+;+	546	330	394	331	256	234	281
YMR307W	XIII	887003	888682	+	1680	42624	54473	47233	8550	7783	9489
YML116W-A	XIII	37472	37774	+	303	56	57	71	225	234	270
YMR021C	XIII	317165	318418	-	1254	333	415	338	1126	1067	1258
YMR135C	XIII	538689	540056	-	1368	124	126	212	1179	753	867
YMR121C	XIII	509734	510348	-	615	540	713	672	1112	921	1163
YMR129W	XIII	527804	531817	+	4014	3703	4981	4154	2856	2656	3331
YML066C	XIII	140424	141533	-	1110	8	9	2	26	28	43
YMR045C	XIII	357359	362627	-	5269	3153	4686	3797	2471	2176	2819
YMR050C	XIII	373057	378325	-	5269	342	488	576	207	181	254
YML045W	XIII	184461	189729	+	5269	482	1378	1024	441	382	537
YML040W	XIII	196628	197950	+	1323	0	0	0	0	0	0
YML045W-A	XIII	184461	185783	+	1323	0	0	0	0	0	0
YMR046C	XIII	361305	362627	-	1323	0	0	0	0	0	0
YMR051C	XIII	377003	378325	-	1323	0	0	0	0	0	0
YML039W	XIII	196628	201896	+	5269	279	764	417	366	187	524
YBR225W	II	670627	673329	+	2703	503	685	602	1688	1524	1803
YBR182C-A	II	595361	595555	-	195	2	7	8	21	42	56
YBL055C	II	115573	116829	-	1257	604	806	704	722	660	890
YBR293W	II	787006	788430	+	1425	487	606	612	30836	27370	33894
YBR223W-A	II	668721	668840	+	120	2	0	0	2	0	0
YBR115C	II	469748	473926	-	4179	0	0	0	1	0	0
YBR031W	II	300166	301254	+	1089	30508	37769	35989	6598	6007	7403
YBL108C-A	II	7605	7733	-	129	0	0	0	10	9	14
YBR116C	II	474199	474726	-	528	3	4	16	309	305	456
YBR241C	II	702589	704055	-	1467	548	613	541	3871	3713	4357
YBR182C	II	593506	594864	-	1359	89	136	117	282	231	299
YBR134W	II	504243	504644	+	402	24	14	14	38	35	38
YBL037W	II	147209	150286	+	3078	1014	1357	1169	1469	1327	1633
YBR019C	II	276253	278352	-	2100	41	55	49	273	219	286
YBR022W	II	283738	284271	+	534	201	313	231	351	294	359
YBR121C-A	II	482326	482484	-	159	0	0	0	0	0	0
YBR119W	II;II	479338;479435	479345;480323	+;+	897	207	211	193	432	401	521
YBL022C	II	177874	181275	-	3402	3991	5165	4325	4605	3967	5014
snR161	II	307185	307345	-	161	651	634	853	652	477	694
YBR243C	II	705447	706793	-	1347	1261	1655	1417	1076	917	1112
YBR234C	II	685438	686592	-	1155	3630	4083	3803	8389	7176	9195
YBR179C	II	586547	589114	-	2568	726	924	831	1195	1032	1272
YBR247C	II	713004	714455	-	1452	951	1394	1123	90	95	127
YBR124W	II	486507	486866	+	360	4	10	2	31	37	38
YBL086C	II	61202	62602	-	1401	277	336	322	1755	1456	1869
YBL065W	II	99963	100307	+	345	4	7	2	14	14	31
YBR227C	II	673572	675134	-	1563	447	481	479	605	497	548
YBR218C	II	658707	662249	-	3543	11507	14546	12948	9386	8311	10393
YBR244W	II	707528	708016	+	489	730	1011	765	901	787	1036
YBR160W	II	560078	560974	+	897	586	784	598	1007	857	1160
YBL080C	II	73070	74695	-	1626	196	269	249	734	589	765
YBR083W	II	409169	410629	+	1461	744	956	879	890	741	1014
YBR294W	II	789235	791814	+	2580	56	88	67	203087	183039	231237
tI(AAU)B	II	197494	197567	+	74	0	2	0	2	4	0
YBR091C	II	427155	427484	-	330	181	172	195	204	178	218
YBR284W	II	771239	773632	+	2394	85	106	103	811	788	955
YBR158W	II	556549	558198	+	1650	4953	6595	5425	4669	4221	5078
YBR111W-A	II;II;II	462139;462290;462500	462209;462429;462579	+;+;+	291	245	363	288	503	427	529
YBL071C	II	90223	90531	-	309	4	16	10	17	4	13
YBR126W-B	II	490927	491070	+	144	33	47	53	115	123	147
YBR229C	II	676357	679221	-	2865	3086	4198	3479	4876	4204	5394
YBR042C	II	320416	321609	-	1194	896	1157	980	1500	1278	1597
YBR150C	II	541209	544493	-	3285	700	913	879	3298	3026	3687
YBR298C	II	802631	804475	-	1845	124	139	165	2467	2069	2587
YBR143C	II	530869	532182	-	1314	6030	8258	6762	2137	2008	2435
YBR014C	II	266725	267336	-	612	483	680	552	747	789	985
tS(AGA)B	II	227075	227156	+	82	4	3	12	1	0	1
YBR259W	II	730387	732453	+	2067	433	536	418	920	874	980
YBR060C	II	360652	362514	-	1863	594	810	633	746	605	772
YBR180W	II	589741	591459	+	1719	18	18	16	24	24	48
YBL034C	II	153848	158389	-	4542	1114	1582	1362	973	854	1173
YBR212W	II	647886	649904	+	2019	1436	1800	1590	4436	4132	4954
YBR071W	II	380411	381046	+	636	590	632	539	642	652	788
YBL074C	II	86722	87789	-	1068	221	212	239	941	839	986
YBL107C	II	9961	10551	-	591	207	269	199	165	150	171
YBR097W	II	436951	441315	+	4365	1227	1537	1293	3819	3389	4054
YBR136W	II	505668	512774	+	7107	1750	2326	1889	3207	2985	3664
YBR039W	II	315575	316510	+	936	1958	2472	2022	2643	2463	3125
YBL089W	II	49574	50953	+	1380	596	732	630	1843	1540	2047
YBL067C	II	93639	95882	-	2244	1543	1978	1750	1128	1056	1163
YBR270C	II	742761	744398	-	1638	104	160	134	610	498	616
YBR087W	II	423765	424829	+	1065	757	862	746	972	890	1048
YBR121C	II	481364	483367	-	2004	12735	16300	14108	2151	1861	2259
YBR026C	II	292877	294019	-	1143	955	1411	1085	4450	3929	5027
YBR197C	II	615203	615856	-	654	194	277	236	504	417	554
YBR027C	II	294024	294356	-	333	30	38	44	43	33	67
YBR177C	II	584807	586162	-	1356	2861	3805	3208	11087	9603	11763
YBR176W	II	583720	584658	+	939	291	387	331	423	352	481
YBR230W-A	II	680362	680562	+	201	49	80	61	153	160	175
YBR090C	II;II	426333;426874	426516;427058	-;-	369	19	28	22	64	56	71
YBL071C-B	II	89458	89556	-	99	4	3	0	4	5	9
YBR064W	II	367763	368191	+	429	4	6	4	24	13	26
YBR044C	II	324341	326059	-	1719	381	539	432	1039	947	1328
YBL068W	II	92414	93394	+	981	1139	1460	1337	577	439	595
YBR216C	II	655576	657600	-	2025	713	1036	765	3580	3010	3709
YBR271W	II	744852	746111	+	1260	376	475	504	185	134	168
YBR084W	II	411054	413981	+	2928	4943	6505	5868	519	459	570
YBR065C	II	368584	369678	-	1095	317	350	412	915	809	1012
YBR245C	II	708150	711539	-	3390	2061	2979	2373	1722	1452	1794
YBR085W	II	415983	416906	+	924	233	303	266	124	124	142
YBR059C	II	356861	360187	-	3327	1887	2507	2306	4476	3929	4932
YBR068C	II	373861	375690	-	1830	9302	12360	11128	2163	1777	2267
YBR285W	II	773922	774356	+	435	13	16	14	337	299	406
YBR041W	II	318266	320275	+	2010	1983	2478	2327	3045	2622	3317
YBR252W	II	722611	723054	+	444	821	875	903	401	413	453
YBL082C	II	69751	71127	-	1377	977	1050	1207	533	539	614
YBL002W	II	236492	236887	+	396	6219	7836	6554	4849	4150	5319
YBL098W	II	39145	40527	+	1383	418	531	487	732	595	710
YBR117C	II	474392	476437	-	2046	50	94	69	6048	5392	7374
YBR214W	II	651415	652998	+	1584	669	978	776	5589	4885	6450
YBR169C	II	573915	575996	-	2082	722	1004	764	10139	8907	10974
YBR207W	II	635146	636543	+	1398	2021	2567	2587	5930	5565	6547
YBR155W	II	549771	550928	+	1158	512	681	703	121	120	147
YBL106C	II	10847	13879	-	3033	755	863	863	1137	910	1073
YBR237W	II	691969	694518	+	2550	424	546	513	1148	1036	1173
YBR193C	II	609082	609753	-	672	270	314	258	769	735	940
YBR149W	II	539987	541021	+	1035	1938	2575	2026	12815	11451	14012
YBR013C	II	265492	265881	-	390	157	238	202	1264	1124	1294
YBL063W	II	101886	105221	+	3336	460	536	550	647	518	636
YBL029C-A	II	164488	164772	-	285	136	172	188	815	853	1015
YBR147W	II	536575	537465	+	891	47	42	36	1775	1652	2055
YBR246W	II	711591	712754	+	1164	697	962	897	1290	1257	1431
YBR002C	II	241708	242568	-	861	341	491	439	309	241	324
YBR023C	II	284428	287925	-	3498	4337	5749	4919	6038	5028	5989
YBL088C	II	51019	59382	-	8364	1759	2473	2105	4810	4158	5385
YBL064C	II	100371	101156	-	786	497	618	581	7486	7153	9073
YBL007C	II	212632	216366	-	3735	7742	9508	8467	8053	6983	9454
tL(UAA)B2	II	347603	347686	+	84	7	1	5	1	1	1
YBL093C	II	44256	44918	-	663	533	708	642	1120	962	1120
YBL091C	II	47363	48628	-	1266	1674	2167	1934	1781	1483	1768
YBR142W	II	528317	530638	+	2322	1431	2109	1770	176	141	181
YBR047W	II	331833	332360	+	528	132	169	133	1817	1682	1952
YBR238C	II	695107	697302	-	2196	1795	2362	2094	416	413	507
YBR067C	II	372103	372735	-	633	2394	3019	2712	3140	2779	3637
YBR010W	II	256331	256741	+	411	5268	6410	5400	4739	4494	5399
YBL054W	II	117589	119166	+	1578	374	493	509	70	54	61
YBR209W	II	642583	642900	+	318	4	6	3	10	3	10
YBL060W	II	107932	109995	+	2064	261	385	341	883	686	860
YBR089W	II	425183	425782	+	600	36	18	41	16	17	23
YBR025C	II	290681	291865	-	1185	10000	12994	10996	1542	1307	1549
YBR040W	II	316968	317864	+	897	14	15	14	8	14	14
YBR230C	II;II	679549;680040	679942;680050	-;-	405	434	517	431	1698	1409	1821
YBL027W	II;II	168423;168809	168424;169376	+;+	570	25174	30112	27215	1844	1694	2102
YBL100C	II	36989	37303	-	315	66	58	48	87	77	114
YBR261C	II	734832	735530	-	699	558	763	626	336	280	427
YBR034C	II	304930	305976	-	1047	1889	2435	2142	363	339	473
YBR101C	II	443821	444693	-	873	899	1171	1065	2745	2418	2858
YBL010C	II	206107	206949	-	843	169	197	172	239	252	240
YBR053C	II	339675	340751	-	1077	599	763	653	5281	4507	5747
YBL059C-A	II;II	110125;110506	110420;110539	-;-	330	233	334	254	453	404	516
YBR255C-A	II;II	726618;727012	726917;727074	-;-	363	131	177	186	311	236	308
YBL042C	II	138341	140260	-	1920	3537	4539	4256	634	673	788
YBL039C	II	143989	145728	-	1740	4942	6307	5439	139	160	158
YBR217W	II	657832	658392	+	561	88	140	116	413	384	460
YBR200W-A	II	622983	623147	+	165	0	0	1	0	2	0
YBL003C	II	235394	235792	-	399	5021	5812	5403	1950	1818	2376
YBR069C	II	376574	378433	-	1860	5444	7208	5998	497	477	636
YBR056W-A	II	351255	351455	+	201	73	85	85	278	253	331
YBR009C	II	255373	255684	-	312	4298	5512	4897	4912	4216	5304
YBL038W	II	146187	146885	+	699	420	521	532	568	635	682
YBR056C-B	II	351293	351451	-	159	8	5	2	16	8	12
YBR081C	II	401253	405251	-	3999	1309	1730	1425	1512	1232	1646
YBR007C	II	248806	251016	-	2211	372	556	482	898	908	1137
YBR146W	II	535260	536096	+	837	851	1094	814	1315	1154	1443
YBR171W	II	578364	578984	+	621	992	1448	1082	523	466	590
YBL028C	II	167518	167838	-	321	604	895	669	94	98	150
YBR135W	II	504854	505306	+	453	383	422	438	357	325	423
YBR264C	II	737770	738369	-	600	189	207	220	405	319	407
YBR043C	II	321876	323945	-	2070	769	984	850	2697	2217	2680
YBL059W	II;II	110594;110949	110879;111244	+;+	582	110	144	81	169	115	177
YBR131W	II	497163	499277	+	2115	332	463	362	539	380	493
YBR233W-A	II	684977	685261	+	285	158	198	194	188	155	161
YBR092C	II	427698	429101	-	1404	5157	6502	5798	193	131	219
YBR126C	II	488905	490392	-	1488	3176	3916	3437	36370	30794	38094
YBR057C	II	352193	353293	-	1101	389	579	521	1270	1112	1422
YBR086C	II	420201	423041	-	2841	7621	9592	8659	11704	10598	13457
YBR174C	II	582338	582652	-	315	0	15	2	22	19	31
snR56	II	88190	88277	+	88	202	218	198	53	34	63
YBR281C	II	764970	767606	-	2637	1122	1476	1353	6198	5116	6581
YBL103C	II	22076	23536	-	1461	349	453	388	810	749	919
tG(GCC)B	II	197629	197699	-	71	0	0	0	0	2	1
YBR159W	II	558685	559728	+	1044	2104	2990	2492	2073	1576	2001
YBR118W	II	477671	479047	+	1377	73963	98108	76734	25241	22085	27964
YBL004W	II	227636	235117	+	7482	12369	17415	15153	1075	1022	1149
YBR163W	II	565723	567480	+	1758	559	775	643	1432	1324	1586
YBL013W	II	202056	203261	+	1206	111	153	117	255	219	270
YBL112C	II	2582	2899	-	318	0	0	0	0	0	0
YBR231C	II	682179	683090	-	912	97	130	158	98	117	145
YBL066C	II	96669	100115	-	3447	537	704	676	722	545	688
YBR008C	II	252563	254209	-	1647	300	435	387	2078	1643	2120
YBL015W	II	194122	195702	+	1581	634	747	656	2361	1957	2530
YBR038W	II	311898	314789	+	2892	2055	2826	2594	1644	1329	1729
YBL018C	II;II	185998;186428	186352;186474	-;-	402	470	479	507	224	168	190
YBR253W	II	723270	723635	+	366	249	307	272	386	373	429
YBL068W-A	II	91794	92030	+	237	0	0	0	0	0	0
YBR058C	II	353672	356017	-	2346	1420	1728	1432	1790	1759	2147
YBL084C	II	67169	69445	-	2277	502	629	544	1186	1073	1380
YBR224W	II	670125	670640	+	516	22	20	16	57	58	61
YBR077C	II	391805	392293	-	489	477	533	449	2841	2274	2926
YBL087C	II;II	59822;60698	60193;60739	-;-	414	13514	16344	14779	766	735	786
YBR098W	II	441515	443590	+	2076	229	370	301	584	516	696
YBR239C	II	698354	699943	-	1590	263	359	350	391	360	482
YBR168W	II	572371	573612	+	1242	393	482	382	1055	993	1302
YBL046W	II	132424	133749	+	1326	263	315	303	524	418	457
YBR003W	II	242809	244230	+	1422	697	957	790	2924	2652	3051
YBR215W	II;II	653356;653453	653368;655317	+;+	1878	346	468	380	457	287	475
LSR1	II	680688	681862	-	1175	236516	299661	260587	242774	208590	276750
YBL025W	II	171481	171918	+	438	103	98	89	391	348	375
YBR105C	II	450881	451969	-	1089	495	725	687	3081	2839	3479
YBR200W	II	620872	622527	+	1656	728	1005	872	1623	1353	1717
YBR190W	II	605966	606277	+	312	2	0	2	13	23	26
YBR248C	II	714807	716465	-	1659	1286	1822	1710	1433	1190	1482
YBR145W	II	533762	534817	+	1056	723	944	779	4973	3949	5272
YBL047C	II	127895	132040	-	4146	10767	13490	11833	11623	10338	13219
YBR099C	II	442924	443307	-	384	29	25	36	146	148	170
YBL014C	II	199064	201748	-	2685	782	963	818	817	772	910
YBR062C	II;II	365976;366585	366502;366600	-;-	543	214	237	206	625	516	674
YBL092W	II	45978	46370	+	393	27535	37246	29322	1705	1551	1926
YBR240C	II	700490	701842	-	1353	50	75	59	134	119	196
YBR251W	II	721390	722313	+	924	308	455	381	564	558	706
YBR199W	II	618909	620303	+	1395	2099	2814	2209	5258	4248	5522
YBR128C	II	493081	494115	-	1035	72	76	40	893	800	1010
YBR139W	II	515664	517190	+	1527	2153	2914	2359	16978	14919	19347
YBL070C	II	90605	90925	-	321	4	5	2	9	5	11
YBR054W	II	343101	344135	+	1035	244	312	259	1403	1180	1442
YBL039W-B	II	143393	143572	+	180	82	90	72	610	586	695
YBR072W	II	382030	382674	+	645	248	370	309	111473	92831	115878
YBR111C	II	461178	461873	-	696	1419	1856	1587	2174	2106	2453
YBL001C	II	237153	237467	-	315	1265	1640	1418	3091	2393	2979
YBR110W	II	458872	460221	+	1350	1571	1996	1932	3673	3251	3888
YBL111C	II;II	2907;4216	4116;5009	-;-	2004	12	10	8	14	20	18
YBL036C	II	150447	151220	-	774	673	905	867	513	475	583
tR(UCU)B	II	405878	405949	+	72	0	0	0	0	0	0
YBL094C	II	43765	44097	-	333	15	6	17	38	40	34
YBR033W	II	301944	304703	+	2760	32	41	42	453	404	550
YBL073W	II	87646	87957	+	312	0	0	0	0	3	2
YBR096W	II	436021	436713	+	693	1874	2407	2140	2854	2466	2895
YBL053W	II	119335	119709	+	375	26	21	28	32	11	27
YBR030W	II	298292	299950	+	1659	639	788	635	1000	844	1104
YBL076C	II	81043	84261	-	3219	33362	44293	37695	8828	7708	9718
YBR256C	II	727386	728102	-	717	1274	1491	1312	5980	5471	6613
YBR162W-A	II	565231	565428	+	198	719	906	995	472	392	554
YBL077W	II	80897	81328	+	432	214	230	203	46	44	68
YBR156C	II	551104	553200	-	2097	311	460	327	585	556	694
YBL012C	II	203406	203807	-	402	8	15	14	16	9	11
YBL008W-A	II	209409	209648	+	240	2	4	5	2	5	0
YBR297W	II	800523	801929	+	1407	131	180	170	2865	2642	3043
YBR189W	II;II	604508;604928	604514;605508	+;+	588	30107	39874	32864	1408	1207	1420
YBL096C	II	43174	43482	-	309	5	5	6	19	5	28
YBR011C	II	257112	257975	-	864	17120	21979	19057	32173	29501	36517
YBL041W	II	141247	141972	+	726	1552	1834	1763	2598	2298	2809
YBL081W	II	71866	72972	+	1107	363	466	573	58	29	70
YBR089C-A	II	426190	426489	-	300	426	406	462	1006	1011	1266
YBR103C-A	II	449320	449463	-	144	1	4	0	2	2	2
YBR296C	II	796798	798522	-	1725	3334	4517	4109	40205	34394	40884
YBL040C	II;II	142112;142847	142749;142868	-;-	660	1595	2104	1771	2627	2470	2879
YBR165W	II	568852	569685	+	834	321	436	440	1359	1184	1400
YBL026W	II;II	170623;170805	170676;171038	+;+	288	751	982	777	875	845	883
YBR082C	II;II	406628;407123	407027;407169	-;-	447	2710	3598	3050	3559	3198	4042
YBR280C	II	762784	764697	-	1914	274	372	297	2848	2374	2760
YBR061C	II	364787	365719	-	933	493	682	640	185	131	163
YBL016W	II	192451	193512	+	1062	503	694	555	394	390	451
YBR175W	II	582408	583355	+	948	509	679	536	1126	1020	1116
YBR029C	II	296369	297742	-	1374	3181	4093	3441	3336	3078	3630
YBL057C	II	112801	113427	-	627	787	961	872	691	702	822
YBR298C-A	II	805035	805256	-	222	2	0	0	0	5	7
YBR192W	II	607652	608785	+	1134	264	357	315	354	241	286
tQ(UUG)B	II	350827	350898	+	72	1	2	6	13	9	3
YBR302C	II	810340	811479	-	1140	35	24	33	106	93	108
YBR254C	II	723736	724263	-	528	334	429	340	546	494	615
YBR204C	II	632254	633381	-	1128	400	504	405	1694	1478	1924
YBR220C	II	662995	664677	-	1683	851	1077	1092	750	558	641
YBR222C	II	666720	668351	-	1632	2109	2743	2361	5915	5410	6660
YBR290W	II	782591	783556	+	966	349	552	472	1039	818	1160
YBR162C	II	563203	564570	-	1368	11908	15188	15649	9169	7208	9030
YBR167C	II	571468	571890	-	423	127	162	177	461	367	511
YBL033C	II	158656	159693	-	1038	354	525	446	788	651	815
YBR228W	II	675313	676227	+	915	181	195	181	630	565	659
YBR263W	II	736264	737736	+	1473	4998	6528	5726	2979	2623	3210
YBR250W	II	719033	720604	+	1572	33	47	44	219	194	241
YBR272C	II	746361	747803	-	1443	395	506	502	2406	1934	2260
YBR120C	II	480435	480923	-	489	166	196	146	412	366	456
YBR084C-A	II;II	414186;415260	414753;415261	-;-	570	17475	21802	19577	1612	1385	1754
YBL062W	II	105308	105688	+	381	24	10	17	24	27	33
YBR301W	II	809057	809419	+	363	2	1	2	18	8	5
YBR076W	II	390227	391291	+	1065	8	9	2	61	33	55
YBR210W	II	645550	645978	+	429	426	508	443	714	593	667
YBR106W	II	452658	453224	+	567	8143	9684	8752	1877	1808	2175
YBR005W	II	245906	246547	+	642	317	346	369	1187	1062	1397
YBR153W	II	547460	548194	+	735	228	328	318	654	481	565
YBR132C	II	499652	501442	-	1791	1063	1456	1133	6967	6366	7861
YBR166C	II	569842	571200	-	1359	615	801	675	868	756	992
YBR221W-A	II	666538	666642	+	105	2	0	0	6	4	6
YBR131C-A	II	497650	497739	-	90	0	0	1	2	0	2
YBR161W	II	561634	562764	+	1131	320	449	378	1140	873	1193
YBR109C	II	457919	458362	-	444	2929	3619	3131	4855	4742	5542
YBR255W	II	724456	726540	+	2085	370	331	341	761	600	745
YBR205W	II	633622	634836	+	1215	1733	2200	1892	1382	1119	1321
YBR296C-A	II	800123	800242	-	120	2	2	2	8	22	8
YBL043W	II	136688	137461	+	774	13	19	22	20	24	36
YBR130C	II	495592	496869	-	1278	793	1155	913	1146	1039	1216
YBR206W	II	634601	634924	+	324	84	118	86	47	51	74
YBR122C	II	483970	484503	-	534	547	800	624	1229	1034	1227
YBR295W	II	792849	796499	+	3651	1050	1314	1459	9001	7003	9169
YBR004C	II	244366	245667	-	1302	916	1243	969	1437	1334	1565
YBR202W	II	625772	628309	+	2538	1724	2181	1805	1537	1390	1750
YBR001C	II	238941	241283	-	2343	699	765	683	3245	2707	3533
YBL113C	II	280	2658	-	2379	88	138	143	390	278	394
YBR288C	II	778012	779463	-	1452	927	1326	1025	1168	1080	1294
YBR282W	II	768240	768680	+	441	239	308	226	522	440	534
YBL072C	II	88523	89125	-	603	15173	20101	15681	1234	1127	1387
YBR103W	II	447709	449316	+	1608	335	508	488	1254	1069	1330
YBR107C	II	453793	454530	-	738	137	176	139	469	391	446
YBL024W	II	172534	174588	+	2055	3113	4100	3546	615	529	647
YBR012C	II	259147	259566	-	420	92	136	84	505	464	585
YBR188C	II	603685	604107	-	423	158	187	168	421	356	472
YBL075C	II	84499	86448	-	1950	336	478	428	3178	2391	3222
YBR102C	II	445062	447323	-	2262	782	1004	806	1492	1326	1742
YBR006W	II	247010	248503	+	1494	488	592	478	5550	4890	6046
YBL051C	II	122753	124759	-	2007	1650	2092	1851	1706	1337	1855
YBR196C	II	612236	613900	-	1665	75998	95824	82013	36060	31948	40230
YBL031W	II	161699	162715	+	1017	195	292	233	255	180	262
YBR141W-A	II	527167	527262	+	96	15	16	18	97	118	116
YBL006W-A	II	216711	216860	+	150	4	10	13	70	75	94
YBL100W-C	II	28427	28546	+	120	9	5	2	31	23	24
YBR236C	II	690383	691693	-	1311	747	1003	923	1511	1302	1467
YBR276C	II	757620	760043	-	2424	1556	2129	1687	2026	1817	2101
YBR036C	II	309081	310313	-	1233	2988	3815	3427	5915	4802	6177
YBR045C	II	328173	330092	-	1920	105	120	106	770	688	874
YBR291C	II	783673	784572	-	900	175	200	180	970	850	907
YBR137W	II	513044	513583	+	540	461	528	470	1511	1427	1679
YBR079C	II	395383	398277	-	2895	7231	9264	8396	1448	1309	1543
YBR017C	II	270947	273703	-	2757	3497	4413	3796	2707	2331	2985
YBL044W	II	135998	136366	+	369	2	11	7	17	6	2
YBL023C	II	174920	177526	-	2607	1131	1474	1240	952	803	1018
YBR127C	II	491269	492822	-	1554	16908	21169	18707	13041	11545	14267
YBR152W	II	546376	547251	+	876	119	207	187	225	154	174
YBR035C	II	306269	306955	-	687	1436	1882	1568	3584	2878	3970
YBR289W	II	779667	782384	+	2718	536	668	592	503	433	586
YBL017C	II	186844	191583	-	4740	6000	8249	7260	9227	7602	9432
YBR157C	II	553543	554310	-	768	394	500	422	953	940	1094
YBL104C	II	18177	21293	-	3117	810	1015	930	916	785	1019
YBL109W	II	5790	6125	+	336	4	0	1	2	0	1
tL(UAA)B1	II	9583	9666	+	84	2	2	2	0	2	2
YBR072C-A	II	382860	383021	-	162	8	9	8	15	5	10
YBR300C	II	808600	809097	-	498	0	3	0	1	2	5
YBR195C	II	610614	611882	-	1269	359	467	417	447	320	422
YBR233W	II	683428	684669	+	1242	214	322	239	440	439	511
YBR262C	II	735720	736040	-	321	301	364	299	478	510	592
YBR020W	II	279021	280607	+	1587	68	96	135	413	380	422
YBR085C-A	II	418907	419164	-	258	814	928	851	11606	10717	13812
YBR123C	II	484742	486691	-	1950	453	581	512	955	820	962
YBR221C	II	665153	666253	-	1101	11646	14879	13008	15719	14250	17816
YBL029W	II	166134	167264	+	1131	99	129	107	130	130	157
YBL045C	II	134143	135516	-	1374	1379	1841	1482	3042	2539	3259
YBR191W-A	II	607149	607223	+	75	453	721	464	27	23	30
YBR154C	II	548362	549009	-	648	1440	1882	1659	378	337	442
YBR278W	II	760294	760899	+	606	212	219	240	602	576	679
YBR273C	II	748061	749371	-	1311	559	713	624	1940	1519	2010
YBR032W	II	301519	301821	+	303	7	7	13	1	0	2
YBR048W	II;II	332831;333387	332875;333812	+;+	471	16397	19617	17297	943	890	1124
YBR104W	II	449667	450656	+	990	484	598	514	247	169	259
YBL079W	II	75259	79767	+	4509	3749	5043	4361	4198	3586	4474
YBR265W	II	738582	739544	+	963	1056	1262	1151	1505	1302	1643
YBR249C	II	716882	717994	-	1113	7405	9437	8197	2696	2570	3291
YBR203W	II	629168	631942	+	2775	310	332	250	1356	1075	1300
YBR184W	II	597363	598934	+	1572	80	96	72	126	166	154
YBR170C	II	576344	578086	-	1743	739	1030	889	2594	2108	2446
YBR173C	II	581726	582172	-	447	677	776	726	861	860	1016
YBR133C	II	501804	504287	-	2484	1749	2220	1957	4157	3600	4478
YBR275C	II	751356	757106	-	5751	1084	1640	1419	1055	945	1091
YBL108W	II	8177	8482	+	306	0	0	0	22	18	25
YBL113W-A	II	646	1128	+	483	8	2	5	11	1	8
YBL085W	II	63876	66818	+	2943	1369	1769	1557	1436	1286	1640
YBL052C	II	119379	121874	-	2496	744	1112	835	726	610	790
YBL009W	II	207194	209224	+	2031	682	910	759	319	276	278
YBR283C	II	768943	770415	-	1473	7825	10472	9232	5975	5368	6432
YBR094W	II	432036	434297	+	2262	987	1229	1114	2286	1973	2268
YBR258C	II	729734	730162	-	429	93	92	108	172	156	177
YBR201W	II	623576	624211	+	636	280	286	234	569	497	603
YBR070C	II	379221	379934	-	714	414	517	442	791	692	838
tE(UUC)B	II	645167	645238	+	72	0	3	4	0	1	1
YBR198C	II	616127	618523	-	2397	1283	1551	1492	1198	961	1260
YBL056W	II	113762	115168	+	1407	3173	4167	3405	7241	6092	7480
YBL099W	II	37053	38690	+	1638	10138	12332	11640	16551	15071	19251
YBR257W	II	728885	729724	+	840	228	299	225	411	413	381
YBR126W-A	II	490850	491056	+	207	176	253	211	696	518	644
YBR242W	II	704670	705386	+	717	394	489	439	269	217	194
YBL008W	II	209653	212175	+	2523	588	764	692	630	529	687
YBR181C	II;II	591712;592769	592416;592774	-;-	711	16516	21893	17668	1121	1022	1384
tC(GCA)B	II	643007	643078	-	72	1	0	1	1	0	6
YBR052C	II	338720	339352	-	633	950	1324	1056	4055	3363	4338
YBR093C	II	429548	430951	-	1404	3991	4904	4511	2709	2438	2819
YBR049C	II	334386	336818	-	2433	1550	2027	1807	1869	1724	2126
YBR056W	II	347879	349384	+	1506	1125	1415	1185	9545	7446	9967
YBL030C	II	163041	163997	-	957	5903	7808	7306	5152	4301	5784
tT(AGU)B	II	266378	266450	+	73	9	8	4	18	3	16
YBR141C	II	527025	528038	-	1014	208	262	174	60	53	47
YBR226C	II	673155	673565	-	411	5	5	9	6	9	7
YBL005W	II	217470	220400	+	2931	837	1157	1010	1830	1536	1972
YBR151W	II	545028	545978	+	951	907	1147	890	2161	1867	2256
